Q_MAIN,ANS1,ANS2,ANS3,ANS4,ANS
物上代位に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。なお、物上代位を行う担保権者は、物上代位の対象とする目的物について、その払渡し又は引渡しの前に差し押さえるものとする。,Ａの抵当権設定登記があるＢ所有の建物の賃料債権について、Ｂの一般債権者が差押えをした場合には、Ａは当該賃料債権に物上代位することができない。,Ａの抵当権設定登記があるＢ所有の建物の賃料債権について、Ａが当該建物に抵当権を実行していても、当該抵当権が消滅するまでは、Ａは当該賃料債権に物上代位することができる。,Ａの抵当権設定登記があるＢ所有の建物が火災によって焼失してしまった場合、Ａは、当該建物に掛けられた火災保険契約に基づく損害保険金請求権に物上代位することができる。,Ａの抵当権設定登記があるＢ所有の建物について、ＣがＢと賃貸借契約を締結した上でＤに転貸していた場合、Ａは、ＣのＤに対する転貸賃料債権に当然に物上代位することはできない。,1
抵当権に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,債権者が抵当権の実行として担保不動産の競売手続をする場合には、被担保債権の弁済期が到来している必要があるが、対象不動産に関して発生した賃料債権に対して物上代位をしようとする場合には、被担保債権の弁済期が到来している必要はない。,抵当権の対象不動産が借地上の建物であった場合、特段の事情がない限り、抵当権の効力は当該建物のみならず借地権についても及ぶ。,対象不動産について第三者が不法に占有している場合、抵当権は、抵当権設定者から抵当権者に対して占有を移転させるものではないので、事情にかかわらず抵当権者が当該占有者に対して妨害排除請求をすることはできない。,抵当権について登記がされた後は、抵当権の順位を変更することはできない。,2
ＡがＢとの間で、ＣのＢに対する債務を担保するためにＡ所有の甲土地に抵当権を設定する場合と根抵当権を設定する場合における次の記述のうち、民法の規定によれば、正しいものはどれか。,抵当権を設定する場合には、被担保債権を特定しなければならないが、根抵当権を設定する場合には、ＢＣ間のあらゆる範囲の不特定の債権を極度額の限度で被担保債権とすることができる。,抵当権を設定した旨を第三者に対抗する場合には登記が必要であるが、根抵当権を設定した旨を第三者に対抗する場合には、登記に加えて、債務者Ｃの異議を留めない承諾が必要である。,Ｂが抵当権を実行する場合には、ＡはまずＣに催告するように請求することができるが、Ｂが根抵当権を実行する場合には、ＡはまずＣに催告するように請求することはできない。,抵当権の場合には、ＢはＣに対する他の債権者の利益のために抵当権の順位を譲渡することができるが、元本の確定前の根抵当権の場合には、Ｂは根抵当権の順位を譲渡することができない。,4
Ａは、Ａの所有する土地をＢに売却し、Ｂの売買代金の支払債務についてＣがＡとの間で保証契約を締結した。この場合、民法の規定によれば、次の記述のうち誤っているものはどれか。,Ｃの保証債務がＢとの連帯保証債務である場合、ＡがＣに対して保証債務の履行を請求してきても、ＣはＡに対して、まずＢに請求するよう主張できる。,Ｃの保証債務にＢと連帯して債務を負担する特約がない場合、ＡがＣに対して保証債務の履行を請求してきても、Ｃは、Ｂに弁済の資力があり、かつ、執行が容易であることを証明することによって、Ａの請求を拒むことができる。,Ｃの保証債務がＢとの連帯保証債務である場合、Ｃに対する履行の請求による時効の中断は、Ｂに対してもその効力を生ずる。,Ｃの保証債務にＢと連帯して債務を負担する特約がない場合、Ｂに対する履行の請求その他時効の中断は、Ｃに対してもその効力は生ずる。,1
Ａ銀行のＢ社に対する貸付債権につき、Ｃは、Ｂ社の委託を受けその全額につき連帯保証するとともに、物上保証人として自己の所有する土地に担保設定している。ＤもＢ社の委託を受け全額につき連帯保証している。保証人各自の負担部分は平等である。Ａ銀行とＢ、Ｃ及びＤとの間にその他特段の約定はない。この場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,Ｃが、Ａ銀行に対して債権全額につき保証債務を履行した場合、その全額につきＢ社に対する求償権を取得する。,Ｃが、Ａ銀行に対して債権全額につき保証債務を履行した場合、その半額につきＤに対する求償権を取得する。,Ｃが、担保物の処分代金により、Ａ銀行に対して債権の3分の2につき物上保証に基づく弁済をした場合、Ｃが取得するＢ社に対する求償権は、Ａ銀行のＢ社に対する貸付債権に劣後する。,Ｄが、Ａに対して債権全額につき保証債務を履行した場合、Ｃの物上保証の担保物件の価額相当額につきＣに対する求償権を取得する。,4
保証に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,保証人となるべきものが、主たる債務者と連絡を取らず、同人からの委託を受けないまま債権者に対して保証したとしても、その保証契約は有効に成立する。,保証人となるべき者が、口頭で明確に特定の債務につき保証する旨の意思表示を債権者に対してすれば、その保証契約は有効に成立する。,連帯保証ではない場合の保証人は、債権者から債務の履行を請求されても、まず主たる債務者に催告すべき旨を債権者に請求できる。ただし、主たる債務者が破産手続開始の決定を受けたとき、又は行方不明であるときは、この限りではない。,連帯保証人が２人いる場合、連帯保証人間に連帯の特約がなくとも、連帯保証人は各自全額につき保証責任を負う。,2
次の１から４までの記述のうち、民法の規定及び下記判決文によれば、誤っているものはどれか。（判決文）<br/>期間の定めのある建物の賃貸借において、賃借人のために保証人が賃貸人との間で保証契約を締結した場合には、反対の趣旨をうかがわせるような特段の事情のない限り、保証人が更新後の賃貸借から生ずる賃借人の債務についても保証の責めを負う趣旨で合意がされたものと解するのが相当であり、保証人は、賃貸人において保証債務の履行を請求することが信義則に反すると認められる場合を除き、更新後の賃貸借から生ずる賃借人の債務についても保証の責めを免れないというべきである。,保証人が期間の定めのある建物の賃貸借の賃借人のために保証契約を締結した場合は、賃貸借契約の更新の際に賃貸人から保証意思の確認がなされていなくても、反対の趣旨をうかがわせるような特段の事情がない限り、更新後の賃借人の債務について保証する旨を合意したものと解される。,期間の定めのある建物の賃貸借の賃借人のための保証人が更新後の賃借人の債務についても保証の責任を負う趣旨で合意した場合には、賃借人の未払賃料が1年分に及んだとしても、賃貸人が保証債務の履行を請求することが信義則に反すると認められる事情がなければ、保証人は当該金額の支払義務を負う。,期間の定めのある建物の賃貸借の賃借人のための保証人が更新後の賃借人の債務についても保証の責任を負う場合、更新後の未払賃料について保証人の責任は及ぶものの、更新後に賃借人が賃借している建物を故意又は過失によって損傷させた場合の損害賠償債務には保証人の責任は及ばない。,期間の定めのある建物の賃貸借の賃借人のための保証人が更新後の賃借人の債務についても保証の責任を負う旨の合意をしたものと解される場合であって、賃貸人において保証債務の履行を請求することが信義則に反すると認められるときには、保証人は更新後の賃借人の債務について保証の責任を負わない。,3
"ＡとＢとが共同で、Ｃから、Ｃ所有の土地を2,000万円で購入し、代金を連帯して負担する（連帯債務）と定め、ＣはＡ・Ｂに登記、引渡しをしたのに、Ａ・Ｂが支払をしない場合の次の記述のうち、民法の規定によれば、正しいものはどれか。","Ｃは、Ａに対して2,000万円の請求をすると、それと同時には、Ｂに対しては、全く請求をすることができない。","ＡとＢとが、代金の負担部分を1,000万円ずつと定めていた場合、ＡはＣから2,000万円請求されても、1,000万円を支払えばよい。","ＢがＣに2,000万円支払った場合、Ｂは、Ａの負担部分と定めていた1,000万円及びその支払った日以後の法定利息をＡに求償することができる。","Ｃから請求を受けたＢは、Ａが、Ｃに対して有する1,000万円の債権をもって相殺しない以上、Ａの負担部分についても、Ｂからこれをもって相殺することはできない。",3
"ＡとＢが1,000万円の連帯債務をＣに対して負っている（負担部分は1/2ずつ）場合と、Ｄが主債務者として、Ｅに1,000万円の債務を負い、ＦはＤから委託を受けてその債務の連帯保証人となっている場合の次の記述のうち、民法の規定によれば、正しいものはどれか。","1,000万円の返済期限が到来した場合、ＣはＡ又はＢにそれぞれ500万円までしか請求できないが、ＥはＤにもＦにも1,000万円を請求することができる。",ＣがＢに対して債務の全額を免除しても、ＡはＣに対してなお500万円の債務を負担しているが、ＥがＦに対して連帯保証債務の全額を免除すれば、Ｄも債務の全額を免れる。,"Ａが1,000万円を弁済した場合には、Ａは500万円についてのみＢに対して求償することができ、Ｆが1,000万円を弁済した場合にも、Ｆは500万円についてのみＤに対して求償することができる。",Ａが債務を承認して時効が中断してもＢの連帯債務の時効の進行には影響しないが、Ｄが債務を承認して時効が中断した場合にはＦの連帯保証債務に対しても時効中断の効力を生ずる。,4
"ＡからＢとＣとが負担部分2分の1として連帯して1,000万円を借り入れる場合と、ＤからＥが1,000万円を借り入れ、Ｆがその借入金返済債務についてＥと連帯して保証する場合とに関する次の記述のうち、民法の規定によれば、正しいものはどれか。",Ａが、Ｂに対して債務を免除した場合にはＣが、Ｃに対して債務を免除した場合にはＢが、それぞれ500万円分の債務を免れる。Ｄが、Ｅに対して債務を免除した場合にはＦが、Ｆに対して債務を免除した場合にはＥが、それぞれ全額の債務を免れる。,Ａが、Ｂに対して履行を請求した効果はＣに及び、Ｃに対して履行を請求した効果はＢに及ぶ。Ｄが、Ｅに対して履行を請求した効果はＦに及び、Ｆに対して履行を請求した効果はＥに及ぶ。,Ｂについて時効が完成した場合にはＣが、Ｃについて時効が完成した場合にはＢが、それぞれ500万円分の債務を免れる。Ｅについて時効が完成した場合にはＦが、Ｆについて時効が完成した場合にはＥが、それぞれ全額の債務を免れる。,"ＡＢ間の契約が無効であった場合にはＣが、ＡＣ間の契約が無効であった場合にはＢが、それぞれ1,000万円の債務を負う。ＤＥ間の契約が無効であった場合はＦが、ＤＦ間の契約が無効であった場合はＥが、それぞれ1,000万円の債務を負う。",2
ＡＢ間の土地売買契約中の履行遅滞の賠償額の予定の条項によって、ＡがＢに対して、損害賠償請求をする場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,賠償請求を受けたＢは、自己の履行遅滞について、帰責事由のないことを主張・立証すれば、免責される。,Ｂが、Ａの過失を立証して、過失相殺の主張をしたとき、裁判所は損害額の算定にその過失を斟酌することができる。,裁判所は、賠償額の予定の合意が、暴利行為として公序良俗違反となる場合でも、賠償額の減額をすることができない。,Ａは、賠償請求に際して、Ｂの履行遅滞があったことを主張・立証すれば足り、損害の発生や損害額の主張・立証をする必要はない。,3
"共に宅地建物取引業者であるＡＢ間でＡ所有の土地について、平成16年9月1日に売買代金3,000万円（うち、手付金200万円は同年9月1日に、残代金は同年10月31日に支払う。）とする売買契約を締結した場合に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。",本件売買契約に利害関係を有しないＣは、同年10月31日を経過すれば、Ｂの意思に反しても残代金をＡに対して支払うことができる。,同年10月31日までにＡが契約の履行に着手した場合には、手付が解約手付の性格を有していても、Ｂが履行に着手したかどうかにかかわらず、Ａは、売買契約を解除できなくなる。,Ｂの債務不履行によりＡが売買契約を解除する場合、手付金相当額を損害賠償の予定とする旨を売買契約で定めていた場合には、特約がない限り、Ａの損害が200万円を超えていても、Ａは手付金相当額以上に損害賠償請求はできない。,"Ａが残代金の受領を拒絶することを明確にしている場合であっても、Ｂは同年10月31日には2,800万円をＡに対して現実に提供しなければ、Ｂも履行遅滞の責任を負わなければならない。",3
ＡはＢとの間で、土地の売買契約を締結し、Ａの所有権移転登記手続とＢの代金の支払を同時に履行することとした。決済約定日に、Ａは所有権移転登記手続を行う債務の履行の提供をしたが、Ｂが代金債務につき弁済の提供をしなかったので、Ａは履行を拒否した。この場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,Ｂは、履行遅滞に陥り、遅延損害金支払債務を負う。,Ａは、一旦履行の提供をしているので、これを継続しなくても、相当の期間を定めて履行を催告し、その期間内にＢが履行しないときは土地の売買契約を解除できる。,Ａは、一旦履行の提供をしているので、Ｂに対して代金の支払を求める訴えを提起した場合、引換給付判決ではなく、無条件の給付判決がなされる。,Ｂが、改めて代金債務を履行するとして、自分振出しの小切手をＡの所に持参しても、債務の本旨に従った弁済の提供とはならない。,3
両当事者が損害の賠償につき特段の合意をしていない場合において、債務の不履行によって生ずる損害賠償請求権に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,債権者は、債務の不履行によって通常生ずべき損害のうち、契約締結当時、両当事者がその損害発生を予見していたものに限り、賠償請求できる。,債権者は、特別の事情によって生じた損害のうち、契約締結当時、両当事者がその事情を予見していたものに限り、賠償請求できる。,債務者の責めに帰すべき債務の履行不能によって生ずる損害賠償請求権の消滅時効は、本来の債務の履行を請求し得る時からその進行を開始する。,債務の不履行に関して債権者に過失があったときでも、債務者から過失相殺する旨の主張がなければ、裁判所は、損害賠償の責任及びその額を定めるに当たり、債権者の過失を考慮することはできない。,3
債務不履行に基づく損害賠償請求権に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,ＡがＢと契約を締結する前に、信義則上の説明義務に違反して契約締結の判断に重要な影響を与える情報をＢに提供しなかった場合、Ｂが契約を締結したことにより被った損害につき、Ａは、不法行為による賠償責任を負うことはあっても、債務不履行による賠償責任を負うことはない。,ＡＢ間の利息付金銭消費貸借契約において、利率に関する定めがない場合、借主Ｂが債務不履行に陥ったことによりＡがＢに対して請求することができる遅延損害金は、年５分の利率により算出する。,ＡＢ間でＢ所有の甲不動産の売買契約を締結した後、Ｂが甲不動産をＣに二重譲渡してＣが登記を具備した場合、ＡはＢに対して債務不履行に基づく損害賠償請求をすることができる。,ＡＢ間の金銭消費貸借契約において、借主Ｂは当該契約に基づく金銭の返済をＣからＢに支払われる売掛代金で予定していたが、その入金がなかった（Ｂの責めに帰すべき事由はない。）ため、返済期限が経過してしまった場合、Ｂは債務不履行には陥らず、Ａに対して遅延損害金の支払義務を負わない。,4
平成19年9月1日にＡ所有の甲建物につきＡＢ間で売買契約が成立し、当該売買契約において同年9月30日をもってＢの代金支払と引換えにＡは甲建物をＢに引き渡す旨合意されていた。この場合に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,甲建物が同年8月31日時点でＡＢ両者の責に帰すことができない火災により滅失していた場合、甲建物の売買契約は有効に成立するが、Ａの甲建物引渡し債務も、Ｂの代金支払債務も共に消滅する。,甲建物が同年9月15日時点でＡの責に帰すべき火災により滅失した場合、有効に成立していた売買契約は、Ａの債務不履行によって無効となる。,甲建物が同年9月15日時点でＢの責に帰すべき火災により滅失した場合、Ａの甲建物引渡し債務も、Ｂの代金支払債務も共に消滅する。,甲建物が同年9月15日時点で自然災害により滅失しても、ＡＢ間に「自然災害による建物滅失の危険は、建物引渡しまでは売主が負担する」との特約がある場合、Ａの甲建物引渡し債務も、Ｂの代金支払債務も共に消滅する。,4
Ａは、Ｂに対して貸付金債権を有しており、Ａはこの貸付金債権をＣに対して譲渡した。この場合、民法の規定及び判例によれば、次の記述のうち誤っているものはどれか。,貸付金債権に譲渡禁止特約が付いている場合で、Ｃが譲渡禁止特約の存在を過失なく知らないとき、ＢはＣに対して債権譲渡が無効であると主張することができない。,Ｂが債権譲渡を承諾しない場合、ＣがＢに対して債権譲渡を通知するだけでは、ＣはＢに対して自分が債権者であることを主張することができない。,Ａが貸付金債権をＤに対しても譲渡し、Ｃへは確定日付のない証書、Ｄへは確定日付のある証書によってＢに通知した場合で、いずれの通知もＢによる弁済前に到達したとき、Ｂへの通知の到達の先後にかかわらず、ＤがＣに優先して権利を行使することができる。,Ａが貸付金債権をＥに対しても譲渡し、Ｃへは平成１５年１０月１０日付、Ｅへは同月９日付のそれぞれ確定日付のある証書によってＢに通知した場合で、いずれの通知もＢによる弁済前に到達したとき、Ｂへの通知の到達の先後にかかわらず、ＥがＣに優先して権利を行使することができる。,4
債権の譲渡に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,指名債権が二重に譲渡され、確定日付のある各債権譲渡通知が同時に債務者に到達したときは、各債権譲受人は、債務者に対し、債権金額基準で按分した金額の弁済請求しかできない。,指名債権の性質を持つ預託金会員制ゴルフクラブの会員権の譲渡については、ゴルフ場経営会社が定める規定に従い会員名義書換えの手続を完了していれば、確定日付のある債権譲渡通知又は確定日付のある承諾のいずれもない場合でも、ゴルフ場経営会社以外の第三者に対抗できる。,契約時点ではまだ発生していない将来債権でも、発生原因や金額などで目的債権を具体的に特定することができれば、譲渡することができ、譲渡時点でその債権発生の可能性が低かったことは譲渡の効力を直ちに否定するものではない。,指名債権譲渡の予約契約を締結し、この予約契約締結の事実を確定日付のある証書により債務者に通知していれば、予約の完結によりなされる債権譲渡の効力を債務者以外の第三者に対抗することができる。,3
"ＡがＢに対して1,000万円の代金債権を有しており、Ａがこの代金債権をＣに譲渡した場合における次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。",ＡＢ間の代金債権には譲渡禁止特約があり、Ｃがその特約の存在を知らないことにつき重大な過失がある場合には、Ｃはこの代金債権を取得することはできない。,ＡがＢに対して債権譲渡の通知をすれば、その譲渡通知が確定日付によるものでなくても、ＣはＢに対して自らに弁済するように主張することができる。,"ＢがＡに対して期限が到来した1,000万円の貸金債権を有していても、ＡがＢに対して確定日付のある譲渡通知をした場合には、ＢはＣに譲渡された代金債権の請求に対して貸金債権による相殺を主張することができない。",ＡがＢに対する代金債権をＤに対しても譲渡し、Ｃに対する債権譲渡もＤに対する債権譲渡も確定日付のある証書でＢに通知した場合には、ＣとＤの優劣は、確定日付の先後ではなく、確定日付のある通知がＢに到着した日時の先後で決まる。,3
債権譲渡に関する次の1から4までの記述のうち、下記判決文によれば、正しいものはどれか。<br/><br/>（判決文）<br/>　民法は、原則として債権の譲渡性を認め（民法第466条第１項）、当事者が反対の意思を表示した場合にはこれを認めない旨定めている（同条第２項本文）ところ、債権の譲渡性を否定する意思を表示した譲渡禁止の特約は、債務者の利益を保護するために付されるものと解される。そうすると、譲渡禁止の特約に反して債権を譲渡した債権者は、同特約の存在を理由に譲渡の無効を主張する独自の利益を有しないのであって、債務者に譲渡の無効を主張する意思があることが明らかであるなどの特段の事情がない限り、その無効を主張することは許されないと解するのが相当である。,債権譲渡禁止特約が付されている債権が債権者から第三者に対して譲渡された場合、債権者に譲渡の無効を主張する意思があることが明らかであるときに限り、債務者が当該譲渡は無効である旨の主張をすることは許される。,債権譲渡禁止特約が付されている債権が債権者から第三者に対して譲渡された場合、債権者に譲渡の無効を主張する意思があることが明らかであれば、譲渡した債権者が当該譲渡は無効である旨の主張をすることは許される。,債権譲渡禁止特約が付されている債権が債権者から第三者に対して譲渡された場合、債務者に譲渡の無効を主張する意思があることが明らかであれば、譲渡した債権者が当該譲渡は無効である旨の主張をすることは許される。,債権譲渡禁止特約が付されている債権が債権者から第三者に対して譲渡された場合、債権譲渡禁止の特約は債務者の利益を保護するために付されるものであるので、債権者はいかなるときも当該譲渡が無効であることを主張することは許されない。,3
Ａは、土地所有者Ｂから土地を賃借し、その土地上に建物を所有してＣに賃貸している。ＡのＢに対する借賃の支払債務に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,Ｃは、借賃の支払債務に関して法律上の利害関係を有しないので、Ａの意思に反して、債務を弁済することはできない。,Ａが、Ｂの代理人と称して借賃の請求をしてきた無権限者に対し債務を弁済した場合、その者に弁済受領権限があるかのような外観があり、Ａがその権限があることについて善意、かつ、無過失であるときは、その弁済は有効である。,Ａが、当該借賃を額面とするＡ振出しに係る小切手（銀行振出しではないもの）をＢに提供した場合、債務の本旨に従った適法な弁済の提供となる。,Ａは、特段の理由がなくとも、借賃の支払債務の弁済に代えて、Ｂのために弁済の目的物を供託し、その債務を免れることができる。,2
弁済に関する次の１から４までの記述のうち、判決文及び民法の規定によれば、誤っているものはどれか。（判決文）<br/>借地上の建物の賃借人はその敷地の地代の弁済について法律上の利害関係を有すると解するのが相当である。思うに、建物賃借人と土地賃貸人との間には直接の契約関係はないが、土地賃借権が消滅するときは、建物賃借人は土地賃貸人に対して、賃借建物から退去して土地を明け渡すべき義務を負う法律関係にあり、建物賃借人は、敷地の地代を弁済し、敷地の賃借権が消滅することを防止することに法律上の利益を有するものと解されるからである。,借地人が地代の支払を怠っている場合、借地上の建物の賃借人は、借地人の意思に反しても、地代を弁済することができる。,借地人が地代の支払を怠っている場合、借地上の建物の賃借人が土地賃貸人に対して地代を支払おうとしても、土地賃貸人がこれを受け取らないときは、当該賃借人は地代を供託することができる。,借地人が地代の支払を怠っている場合、借地上の建物の賃借人は、土地賃貸人の意思に反しても、地代について金銭以外のもので代物弁済することができる。,借地人が地代の支払を怠っている場合、借地上の建物の賃借人が土地賃貸人に対して地代を弁済すれば、土地賃貸人は借地人の地代の不払を理由として借地契約を解除することはできない。,3
"Ａ銀行のＢに対する貸付債権1,500万円につき、ＣがＢの委託を受けて全額について連帯保証をし、Ｄ及びＥは物上保証人として自己の所有する不動産にそれぞれ抵当権を設定していた場合、次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。","ＣがＡ銀行に対して債権全額について保証債務を履行した場合、Ｃは、Ｄ及びＥの各不動産に対する抵当権を実行して1,500万円を回収することができる。","Ａ銀行がＤの不動産の抵当権を実行して債権全額を回収した場合、ＤはＣに対して、1,000万円を限度として求償することができる。",第三者がＤの所有する担保不動産を買い受けた後、ＣがＡ銀行に対して債権全額を弁済した場合、Ｃは代位の付記登記をしなければ、当該第三者に対してＡ銀行に代位することができない。,Ｅの担保不動産を買い受けた第三者がＡ銀行に対して債権全額を弁済した場合、当該第三者は、Ｃに対して、弁済した額の一部を求償することができる。,4
Ａは、Ｂ所有の建物を賃借し、毎月末日までに翌月分の賃料50万円を支払う約定をした。またＡは敷金300万円をＢに預託し、敷金は賃貸借終了後明渡し完了後にＢがＡに支払うと約定された。ＡのＢに対するこの賃料債務に関する相殺についての次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,Ａは、Ｂが支払不能に陥った場合は、特段の合意がなくても、Ｂに対する敷金返還請求権を自働債権として、弁済期が到来した賃料債務と対当額で相殺することができる。,ＡがＢに対し不法行為に基づく損害賠償請求権を有した場合、Ａは、このＢに対する損害賠償請求権を自働債権として、弁済期が到来した賃料債務と対当額で相殺することはできない。,ＡがＢに対して商品の売買代金請求権を有しており、それが平成16年9月1日をもって時効により消滅した場合、Ａは、同年9月2日に、このＢに対する代金請求権を自働債権として、同年8月31日に弁済期が到来した賃料債務と対当額で相殺することはできない。,ＡがＢに対してこの賃貸借契約締結以前から貸付金債権を有しており、その弁済期が平成16年8月31日に到来する場合、同年8月20日にＢのＡに対するこの賃料債権に対する差押があったとしても、Ａは、同年8月31日に、このＢに対する貸付金債権を自働債権として、弁済期が到来した賃料債務と対当額で相殺することができる。,4
Ａは自己所有の甲建物をＢに賃貸し賃料債権を有している。この場合における次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,Ａの債権者Ｃが、ＡのＢに対する賃料債権を差し押さえた場合、Ｂは、その差し押さえ前に取得していたＡに対する債権と、差し押さえにかかる賃料債務とを、その弁済期の先後にかかわらず、相殺適状になった段階で相殺し、Ｃに対抗することができる。,甲建物の抵当権者Ｄが、物上代位権を行使してＡのＢに対する賃料債権を差し押さえた場合、Ｂは、Ｄの抵当権設定登記の後に取得したＡに対する債権と、差し押さえにかかる賃料債務とを、相殺適状になった段階で相殺し、Ｄに対抗することができる。,甲建物の抵当権者Ｅが、物上代位権を行使してＡのＢに対する賃料債権を差し押さえた場合、その後に賃貸借契約が終了し、目的物が明け渡されたとしても、Ｂは、差し押さえにかかる賃料債務につき、敷金の充当による当然消滅を、Ｅに対抗することはできない。,ＡがＢに対する賃料債権をＦに適法に譲渡し、その旨をＢに通知したときは、通知時点以前にＢがＡに対する債権を有しており相殺適状になっていたとしても、Ｂは、通知後はその債権と譲渡にかかる賃料債務を相殺することはできない。,1
Ａは、自己所有の甲地をＢに売却し引き渡したが、Ｂはまだ所有権移転登記を行っていない。この場合、民法の規定及び判定によれば、次の記述のうち誤っているものはどれか。,Ｃが、ＡＢ間の売買の事実を知らずにＡから甲地を買い受け、所有権移転登記を得た場合、ＣはＢに対して甲地の所有権を主張することができる。,Ｄが、Ｂを欺き著しく高く売りつける目的で、Ｂが所有権移転登記を行っていないことに乗じて、Ａから甲地を買い受け所有移転登記を得た場合、ＤはＢに対して甲地の所有権を主張することができない。,Ｅが、甲地に抵当権を設定して登記を得た場合であっても、その後Ｂが所有権移転登記を得てしまえば、以後、ＥはＢに対して甲地に抵当権を設定したことを主張することができない。,ＡとＦが、通謀して甲地をＡからＦに仮装譲渡し、所有権移転登記を得た場合、Ｂは登記がなくとも、Ｆに対して甲地の所有権を主張することができる。,3
Ａは、自己所有の建物をＢに売却したが、Ｂはまだ所有権移転登記を行っていない。この場合、民法の規定及び判例によれば、次の記述のうち誤っているものはどれか。,Ｃが何らの権原なくこの建物を不法占有している場合、Ｂは、Ｃに対し、この建物の所有権を対抗でき、明渡しを請求できる。,ＤがＡからこの建物を賃借し、引渡しを受けて適法に占有している場合、Ｂは、Ｄに対し、この建物の所有権を対抗でき、賃貸人たる地位を主張できる。,この建物がＡとＥとの持分1/2ずつの共有であり、Ａが自己の持分をＢに売却した場合、Ｂは、Ｅに対し、この建物の持分の取得を対抗できない。,Ａはこの建物をＦから買い受け、ＦからＡに対する所有権移転登記がまだ行われていない場合、Ｂは、Ｆに対し、この建物の所有権を対抗できる。,2
Ａは、自己所有の甲地をＢに売却し、代金を受領して引渡しを終えたが、ＡからＢに対する所有権移転登記はまだ行われていない。この場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,Ａの死亡によりＣが単独相続し、甲地について相続を原因とするＡからＣへの所有権移転登記がなされた場合、Ｂは、自らへの登記をしていないので、甲地の所有権をＣに対抗できない。,Ａの死亡によりＣが単独相続し、甲地について相続を原因とするＡからＣへの所有権移転登記がなされた後、ＣがＤに対して甲地を売却しその旨の所有権移転登記がなされた場合、Ｂは、自らへの登記をしていないので、甲地の所有権をＤに対抗できない。,ＡＢ間の売買契約をＢから解除できる事由があるときで、Ｂが死亡し、ＥとＦが1/2ずつ共同相続した場合、Ｅ単独ではこの契約を解除することはできず、Ｆと共同で行わなければならない。,ＡＢ間の売買契約をＡから解除できる事由があるときで、Ｂが死亡し、ＥとＦが1/2ずつ共同相続した場合、Ａがこの契約を解除するには、ＥとＦの全員に対して行わなければならない。,1
Ａが所有者として登記されている甲土地の売買契約に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,Ａと売買契約を締結したＢが、平穏かつ公然と甲土地の占有を始め、善意無過失であれば、甲土地がＡの土地ではなく第三者の土地であったとしても、Ｂは即時に所有権を取得することができる。,Ａと売買契約を締結したＣが、登記を信頼して売買契約を行った場合、甲土地がＡの土地ではなく第三者Ｄの土地であったとしても、Ｄの過失の有無にかかわらず、Ｃは所有権を取得することができる。,Ａと売買契約を締結して所有権を取得したＥは、所有権の移転登記を備えていない場合であっても、正当な権原なく甲土地を占有しているＦに対し、所有権を主張して甲土地の明渡しを請求することができる。,Ａを所有者とする甲土地につき、ＡがＧとの間で10月1日に、Ｈとの間で10月10日に、それぞれ売買契約を締結した場合、Ｇ、Ｈ共に登記を備えていないときには、先に売買契約を締結したＧがＨに対して所有権を主張することができる。,3
不動産の物権変動の対抗要件に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。なお、この問において、第三者とはいわゆる背信的悪意者を含まないものとする。,不動産売買契約に基づく所有権移転登記がなされた後に、売主が当該契約に係る意思表示を詐欺によるものとして適法に取り消した場合、売主は、その旨の登記をしなければ、当該取消後に当該不動産を買主から取得して所有権移転登記を経た第三者に所有権を対抗できない。,不動産売買契約に基づく所有権移転登記がなされた後に、売主が当該契約を適法に解除した場合、売主は、その旨の登記をしなければ、当該契約の解除後に当該不動産を買主から取得して所有権移転登記を経た第三者に所有権を対抗できない。,甲不動産につき兄と弟が各自2分の1の共有持分で共同相続した後に、兄が弟に断ることなく単独で所有権を相続取得した旨の登記をした場合、弟は、その共同相続の登記をしなければ、共同相続後に甲不動産を兄から取得して所有権移転登記を経た第三者に自己の持分権を対抗できない。,取得時効の完成により乙不動産の所有権を適法に取得した者は、その旨を登記しなければ、時効完成後に乙不動産を旧所有者から取得して所有権移転登記を経た第三者に所有権を対抗できない。,3
